district_id,percent_economically_disadvantaged,subject,avg_scaled_score1,avg_scaled_score
1860000,29.8,ELA,495,495.0623
1860000,29.8,MATH,491,495.0623
7170000,36,ELA,495,495.0623
7170000,36,MATH,486,495.0623
7170000,36,SCI,493,495.0623
1910000,32.9,MATH,483,495.0623
1910000,32.9,SCI,495,495.0623
1970000,29.6,ELA,493,495.0623
1970000,29.6,MATH,483,495.0623
1970000,29.6,SCI,493,495.0623
7200000,35.3,ELA,491,495.0623
7200000,35.3,MATH,486,495.0623
7200000,35.3,SCI,494,495.0623
6600000,24.8,MATH,492,495.0623
6600000,24.8,SCI,495,495.0623
4440000,51.7,ELA,489,495.0623
4440000,51.7,MATH,482,495.0623
4440000,51.7,SCI,484,495.0623
2010000,75,ELA,487,495.0623
2010000,75,MATH,479,495.0623
2010000,75,SCI,482,495.0623
35130000,50.3,ELA,486,495.0623
35130000,50.3,MATH,479,495.0623
35130000,50.3,SCI,484,495.0623
7280000,35.1,SCI,491,495.0623
2090000,67.5,ELA,486,495.0623
2090000,67.5,MATH,478,495.0623
2090000,67.5,SCI,483,495.0623
2150000,39.2,ELA,488,495.0623
2150000,39.2,MATH,482,495.0623
2150000,39.2,SCI,488,495.0623
7350000,22.7,MATH,490,495.0623
2100000,28.1,MATH,487,495.0623
2140000,34.3,ELA,493,495.0623
2140000,34.3,MATH,486,495.0623
2180000,23.8,MATH,491,495.0623
2200000,31.6,ELA,495,495.0623
2200000,31.6,MATH,491,495.0623
2200000,31.6,SCI,493,495.0623
2210000,33,MATH,494,495.0623
7400000,15.7,MATH,494,495.0623
35150000,34.6,MATH,489,495.0623
35150000,34.6,SCI,490,495.0623
2230000,64.8,ELA,485,495.0623
2230000,64.8,MATH,475,495.0623
2230000,64.8,SCI,480,495.0623
2260000,38,ELA,492,495.0623
2260000,38,MATH,486,495.0623
2260000,38,SCI,489,495.0623
2270000,51.8,ELA,490,495.0623
2270000,51.8,MATH,482,495.0623
2270000,51.8,SCI,484,495.0623
2290000,38.7,ELA,492,495.0623
2290000,38.7,MATH,486,495.0623
2290000,38.7,SCI,492,495.0623
2300000,12.8,SCI,492,495.0623
7450000,13.1,MATH,494,495.0623
2340000,35.5,MATH,488,495.0623
35060000,33.9,SCI,493,495.0623
7500000,30.9,ELA,494,495.0623
7500000,30.9,MATH,482,495.0623
4790000,31.8,MATH,484,495.0623
4790000,31.8,SCI,493,495.0623
2360000,58.6,ELA,489,495.0623
2360000,58.6,MATH,480,495.0623
2360000,58.6,SCI,486,495.0623
2390000,28.2,MATH,491,495.0623
2390000,28.2,SCI,493,495.0623
4870000,52.6,ELA,492,495.0623
4870000,52.6,MATH,480,495.0623
4870000,52.6,SCI,479,495.0623
2420000,44.2,MATH,481,495.0623
2420000,44.2,SCI,493,495.0623
7530000,31.3,MATH,492,495.0623
7530000,31.3,SCI,495,495.0623
7780000,41.8,MATH,488,495.0623
7780000,41.8,SCI,492,495.0623
2430000,40.6,MATH,492,495.0623
7550000,47.9,ELA,486,495.0623
7550000,47.9,MATH,481,495.0623
7550000,47.9,SCI,494,495.0623
2440000,55,ELA,491,495.0623
2440000,55,MATH,484,495.0623
2440000,55,SCI,490,495.0623
2480000,58.4,ELA,490,495.0623
2480000,58.4,MATH,480,495.0623
2480000,58.4,SCI,486,495.0623
2490000,29.1,MATH,493,495.0623
4830000,16.6,MATH,494,495.0623
4820000,8,MATH,495,495.0623
2510000,43.2,MATH,488,495.0623
2510000,43.2,SCI,492,495.0623
2520000,22.7,MATH,489,495.0623
2530000,42.9,ELA,492,495.0623
2530000,42.9,MATH,480,495.0623
4840000,70.3,ELA,484,495.0623
4840000,70.3,MATH,478,495.0623
4840000,70.3,SCI,480,495.0623
2580000,56.4,ELA,490,495.0623
2580000,56.4,MATH,479,495.0623
2580000,56.4,SCI,487,495.0623
4850000,40.9,MATH,492,495.0623
2610000,20.3,MATH,494,495.0623
2620000,39.4,ELA,495,495.0623
2620000,39.4,MATH,487,495.0623
2620000,39.4,SCI,493,495.0623
2630000,44.4,ELA,492,495.0623
2630000,44.4,MATH,487,495.0623
2720000,35.3,MATH,488,495.0623
7600000,19,ELA,494,495.0623
7600000,19,MATH,494,495.0623
4740000,43.5,ELA,491,495.0623
4740000,43.5,MATH,477,495.0623
4740000,43.5,SCI,493,495.0623
2730000,27.5,MATH,490,495.0623
2740000,46.2,ELA,494,495.0623
2740000,46.2,MATH,482,495.0623
2740000,46.2,SCI,490,495.0623
2780000,30.9,ELA,493,495.0623
2780000,30.9,MATH,485,495.0623
2780000,30.9,SCI,495,495.0623
4880000,27.6,MATH,486,495.0623
2750000,17.6,MATH,489,495.0623
2770000,77.7,ELA,477,495.0623
2770000,77.7,MATH,469,495.0623
2770000,77.7,SCI,476,495.0623
7650000,37.4,ELA,493,495.0623
7650000,37.4,MATH,483,495.0623
7650000,37.4,SCI,494,495.0623
7660000,26.8,MATH,491,495.0623
7660000,26.8,SCI,495,495.0623
7670000,44.4,ELA,490,495.0623
7670000,44.4,MATH,479,495.0623
7670000,44.4,SCI,490,495.0623
2810000,82.2,ELA,483,495.0623
2810000,82.2,MATH,475,495.0623
2810000,82.2,SCI,480,495.0623
4410000,47.9,ELA,489,495.0623
4410000,47.9,MATH,478,495.0623
4410000,47.9,SCI,485,495.0623
35100000,70.9,MATH,486,495.0623
35100000,70.9,SCI,493,495.0623
2840000,20,MATH,495,495.0623
2850000,39.1,ELA,495,495.0623
2850000,39.1,MATH,488,495.0623
2850000,39.1,SCI,493,495.0623
2890000,41.1,MATH,488,495.0623
2900000,15.7,MATH,492,495.0623
2910000,18.4,MATH,495,495.0623
2920000,23.3,MATH,492,495.0623
39020000,52.3,MATH,490,495.0623
2930000,23.1,ELA,490,495.0623
2930000,23.1,MATH,480,495.0623
2930000,23.1,SCI,485,495.0623
2950000,18.2,MATH,493,495.0623
2980000,4.8,MATH,491,495.0623
7730000,26.2,MATH,491,495.0623
3000000,38.1,MATH,494,495.0623
3010000,20.1,MATH,494,495.0623
4800000,80,ELA,476,495.0623
4800000,80,MATH,476,495.0623
4800000,80,SCI,473,495.0623
35050000,75.8,ELA,476,495.0623
35050000,75.8,MATH,468,495.0623
35050000,75.8,SCI,472,495.0623
7740000,24,MATH,494,495.0623
3040000,24.2,MATH,490,495.0623
4980000,79.8,ELA,488,495.0623
4980000,79.8,MATH,484,495.0623
4980000,79.8,SCI,484,495.0623
3050000,14.6,MATH,494,495.0623
3060000,44.2,MATH,494,495.0623
3060000,44.2,SCI,495,495.0623
3080000,42.3,ELA,495,495.0623
3080000,42.3,MATH,487,495.0623
3080000,42.3,SCI,487,495.0623
3090000,58.8,ELA,490,495.0623
3090000,58.8,MATH,480,495.0623
3090000,58.8,SCI,491,495.0623
3100000,59.2,ELA,490,495.0623
3100000,59.2,MATH,479,495.0623
3100000,59.2,SCI,489,495.0623
3140000,32.6,MATH,489,495.0623
3160000,64,ELA,486,495.0623
3160000,64,MATH,477,495.0623
3160000,64,SCI,485,495.0623
3230000,20.8,MATH,487,495.0623
3230000,20.8,SCI,494,495.0623
3320000,50.7,ELA,494,495.0623
3320000,50.7,MATH,487,495.0623
3320000,50.7,SCI,492,495.0623
